Country,Cumulative Cases,Date,Local Trans,No Recovered,No_Deaths,,,,,,,
Canada,140,2003_04_24,Yes,67,15,,,,,,,
China,2422,2003_04_24,Yes,1254,110,,,,,,,
"China, Hong Kong Special Administrative Region^4",1488,2003_04_24,Yes,567,109,,,,,,,
"China, Taiwan",37,2003_04_24,Yes,21,0,,,,,,,
France,5,2003_04_24,None,1,0,,,,,,,
Germany,7,2003_04_24,None,6,0,,,,,,,
India,1,2003_04_24,None,1,0,,,,,,,
Indonesia,1,2003_04_24,None,1,0,,,,,,,
Italy,4,2003_04_24,None,3,0,,,,,,,
Japan,2,2003_04_24,None,0,0,,,,,,,
Kuwait,1,2003_04_24,None,1,0,,,,,,,
Malaysia,5,2003_04_24,None,2,2,,,,,,,
Mongolia,3,2003_04_24,None,3,0,,,,,,,
Philippines,2,2003_04_24,None,1,1,,,,,,,
Republic of Ireland,1,2003_04_24,None,1,0,,,,,,,
Romania,1,2003_04_24,None,1,0,,,,,,,
Singapore,192,2003_04_24,Yes,118,19,,,,,,,
South Africa,1,2003_04_24,None,0,0,,,,,,,
Spain,1,2003_04_24,None,1,0,,,,,,,
Sweden,3,2003_04_24,None,2,0,,,,,,,
Switzerland,1,2003_04_24,None,1,0,,,,,,,
Thailand,8,2003_04_24,None,5,2,,,,,,,
United Kingdom,6,2003_04_24,Yes,6,0,,,,,,,
United States,37,2003_04_24,Yes,not available,0,,,,,,,
Viet Nam,63,2003_04_24,Yes,49,5,,,,,,,
Total,4439,2003_04_24,,2117,263,,,,,,,
Australia,4,2003_04_25,None,3,0,,,,,,,
Brazil,2,2003_04_25,None,2,0,,,,,,,
Bulgaria,1,2003_04_25,None,0,0,,,,,,,
Canada,140,2003_04_25,Yes,74,15,,,,,,,
China,2601,2003_04_25,Yes,1277,115,,,,,,,
"China, Hong Kong Special Administrative Region^4",1510,2003_04_25,Yes,614,115,,,,,,,
"China, Taiwan",41,2003_04_25,Yes,21,0,,,,,,,
France,5,2003_04_25,None,1,0,,,,,,,
Germany,7,2003_04_25,None,6,0,,,,,,,
India,1,2003_04_25,None,1,0,,,,,,,
Indonesia,1,2003_04_25,None,1,0,,,,,,,
Italy,4,2003_04_25,None,3,0,,,,,,,
Japan,2,2003_04_25,None,0,0,,,,,,,
Kuwait,1,2003_04_25,None,1,0,,,,,,,
Malaysia,5,2003_04_25,None,2,2,,,,,,,
