Country,Cumulative_Cases,Date,Recovered,Deaths,,,,,
Republic of Korea,3,2003-06-09,3,0,,,,,
Romania,1,2003-06-09,1,0,,,,,
Russian Federation,1,2003-06-09,0,0,,,,,
Singapore,206,2003-06-09,168,31,,,,,
South Africa,1,2003-06-09,0,1,,,,,
Spain,1,2003-06-09,1,0,,,,,
Sweden,3,2003-06-09,3,0,,,,,
Switzerland,1,2003-06-09,1,0,,,,,
Thailand,9,2003-06-09,6,2,,,,,
United Kingdom,4,2003-06-09,4,0,,,,,
United States,68,2003-06-09,35,0,,,,,
Viet Nam,63,2003-06-09,58,5,,,,,
Total,8421,2003-06-09,6280,784,,,,,
Australia,5,2003-06-10,5,0,,,,,
Brazil,3,2003-06-10,2,0,,,,,
Canada,229,2003-06-10,131,32,,,,,
China,5328,2003-06-10,4294,343,,,,,
"China, Hong Kong Special Administrative Region^4",1754,2003-06-10,1368,290,,,,,
"China, Macao Special Administrative Region",1,2003-06-10,1,0,,,,,
"China, Taiwan",686,2003-06-10,319,81,,,,,
Colombia,1,2003-06-10,1,0,,,,,
Finland,1,2003-06-10,1,0,,,,,
France,7,2003-06-10,6,0,,,,,
Germany,10,2003-06-10,9,0,,,,,
India,3,2003-06-10,3,0,,,,,
Indonesia,2,2003-06-10,2,0,,,,,
Italy,9,2003-06-10,9,0,,,,,
Kuwait,1,2003-06-10,1,0,,,,,
Malaysia,5,2003-06-10,3,2,,,,,
Mongolia,9,2003-06-10,9,0,,,,,
New Zealand,1,2003-06-10,1,0,,,,,
Philippines,12,2003-06-10,10,2,,,,,
Republic of Ireland,1,2003-06-10,1,0,,,,,
Republic of Korea,3,2003-06-10,3,0,,,,,
Romania,1,2003-06-10,1,0,,,,,
Russian Federation,1,2003-06-10,0,0,,,,,
Singapore,206,2003-06-10,168,31,,,,,
South Africa,1,2003-06-10,0,1,,,,,
Spain,1,2003-06-10,1,0,,,,,
Sweden,3,2003-06-10,3,0,,,,,
Switzerland,1,2003-06-10,1,0,,,,,
Thailand,9,2003-06-10,6,2,,,,,
United Kingdom,4,2003-06-10,4,0,,,,,
United States,69,2003-06-10,36,0,,,,,
Viet Nam,63,2003-06-10,58,5,,,,,
Total,8430,2003-06-10,6457,789,,,,,
Australia,5,2003-06-11,5,0,,,,,
Brazil,3,2003-06-11,2,0,,,,,
Canada,230,2003-06-11,134,32,,,,,
China,5329,2003-06-11,4390,343,,,,,
